Description,TotalSalesDollars,ProfitMargin,IsTargetBrand,LowSalesThreshold,HighMarginThreshold
Alberta Rye Dark Batch,5871.33,88.95275857429237,False,560.146,64.9299097086893
Alberto Furque Malbec Mendoz,1379.08,48.591814833077116,False,560.146,64.9299097086893
Albola Chianti,3025.49,31.05877064541611,False,560.146,64.9299097086893
Albola Pinot Grigio,64481.99,31.300212664032234,False,560.146,64.9299097086893
Alderbrook Pnt Nr RRV,21426.09,92.67668529349032,False,560.146,64.9299097086893
Aldial Naia Rueda White,9153.2,37.74821920202772,False,560.146,64.9299097086893
Alexana Pnt Nr Willamette,919.5999999999999,15.832970856894294,False,560.146,64.9299097086893
Alexana Revana Vyd Pnt Nr,8047.110000000001,48.09440904871438,False,560.146,64.9299097086893
Alexander Vly Vyd Cab Svgn,63030.82,32.911264679723345,False,560.146,64.9299097086893
Alexander Vly Vyds Gewurz,5164.83,29.957036340015065,False,560.146,64.9299097086893
Alexander Vly Vyds Merlot,6072.1900000000005,14.419344585726082,False,560.146,64.9299097086893
Alexander Vly Vyds Sin Znfdl,479.76,35.46773386693346,False,560.146,64.9299097086893
Alexanders Crown Cab Svgn,5389.26,68.83134233642467,False,560.146,64.9299097086893
Alias Cab Svgn,912.17,38.1167984038063,False,560.146,64.9299097086893
Alias Chard,582.47,24.967809500918502,False,560.146,64.9299097086893
Alibi Whiskey,531.72,63.50710900473935,False,560.146,64.9299097086893
Alice White Chard Ausl,43800.57,44.56053882403814,False,560.146,64.9299097086893
Alice White Lexia Muscato,512.85,40.80140391927464,False,560.146,64.9299097086893
Alice White Shiraz Ausl,17023.14,39.16709843189917,False,560.146,64.9299097086893
Alisios Pinot Grigio,119.88,33.33333333333333,False,560.146,64.9299097086893
Alize Coco Liqueur,95.94,21.263289555972477,False,560.146,64.9299097086893
Alize Red Passion,139.93,31.437147145001077,False,560.146,64.9299097086893
Allegrini La Grola Veronese,629.79,21.19277854522936,False,560.146,64.9299097086893
Allegrini Palazzo Della Tor,67061.20999999999,24.923513906176158,False,560.146,64.9299097086893
Allegrini Solosole Vermentin,1849.0299999999997,40.34710091237026,False,560.146,64.9299097086893
Allegrini Sondraia,3134.37,80.46880234305458,False,560.146,64.9299097086893
Allegrini Valpolicella Clsc,19738.41,38.8319525230249,False,560.146,64.9299097086893
Allen's Amaretto Liqueur,101.83,45.67416282038692,False,560.146,64.9299097086893
Allen's Blue Curacao Liqueur,5.99,20.03338898163606,False,560.146,64.9299097086893
Allen's Ginger Brandy,464.7,11.1426726920594,False,560.146,64.9299097086893
Allen's Pomegranate Liqueur,107.82,13.522537562604326,False,560.146,64.9299097086893
Allens Coffee Brandy,540403.5599999999,32.041960071952026,False,560.146,64.9299097086893
Allens Triple Sec,12668.630000000001,27.2549596917741,False,560.146,64.9299097086893
Alma Negra Gran Almanegra,249.95000000000002,86.20524104820964,True,560.146,64.9299097086893
Almaden B/B Wh Znfdl Cal,96892.04,37.36183075513736,False,560.146,64.9299097086893
Almaden Burgundy B/B,89359.33,35.692322223096355,False,560.146,64.9299097086893
Almaden Cab Svgn Cal B/B,173797.08,34.9006323926731,False,560.146,64.9299097086893
